CONVERSATIONID,CHANNEL,VERSION,OPTIONS,DT,MNTH,TM,DIALOGID
a,widget,0,0,22-Aug-16,8,8/22/2016 11:08,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,6-Feb-17,2,2/6/2017 8:58,4fa757bbb8914680803d00c0001c2593
c,GMAIL,1,0,19-May-16,5,5/19/2016 14:00,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,22-Aug-16,8,8/22/2016 10:06,4fa757bbb8914680803d00c0001c2593
a,widget,0,0,29-Aug-16,8,8/29/2016 14:03,add13c7bd2d34d8695f9a342db3bf6c4
b,test,0,0,13-Jul-16,7,7/13/2016 6:43,f80f6e10e9624f08b92dc12b7577e8d4
c,test,0,0,3-Oct-16,10,10/3/2016 4:38,8591b40f435841b4b25b4f7cd345ef00
d,widget,0,0,22-Aug-16,8,8/22/2016 9:56,f80f6e10e9624f08b92dc12b7577e8d4
a,web,0,0,2-Feb-17,2,2/2/2017 3:33,c3af09a013024f8db4c9ccc2261fbf48
b,widget,0,0,26-Aug-16,8,8/26/2016 13:22,add13c7bd2d34d8695f9a342db3bf6c4
c,widget,0,0,25-Aug-16,8,8/25/2016 7:01,f80f6e10e9624f08b92dc12b7577e8d4
d,web,0,0,19-Jan-17,1,1/19/2017 2:08,703e57c7930245e1b76332a5293d3105
a,test,0,0,4-Jul-16,7,7/4/2016 4:59,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,4-Jul-16,7,7/4/2016 5:00,f80f6e10e9624f08b92dc12b7577e8d4
c,web,0,0,9-Feb-17,2,2/9/2017 2:49,c3af09a013024f8db4c9ccc2261fbf48
d,widget,0,0,18-Aug-16,8,8/18/2016 13:24,f80f6e10e9624f08b92dc12b7577e8d4
a,GMAIL,1,0,22-Apr-16,4,4/22/2016 10:01,f80f6e10e9624f08b92dc12b7577e8d4
b,Zendesk,1,0,2-May-16,5,5/2/2016 11:19,907e4a124cb444ee814e5cae80c88f34
c,widget,0,0,25-Aug-16,8,8/25/2016 7:56,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,24-Aug-16,8,8/24/2016 4:45,4fa757bbb8914680803d00c0001c2593
a,widget,0,0,6-Oct-16,10,10/6/2016 13:36,add13c7bd2d34d8695f9a342db3bf6c4
b,test,0,0,3-Oct-16,10,10/3/2016 4:27,8591b40f435841b4b25b4f7cd345ef00
c,Zendesk,1,0,22-Jun-16,6,6/22/2016 13:20,5ca44e07da1949fa8d39d06b253f08c8
d,test,0,0,15-Jul-16,7,7/15/2016 12:18,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,25-Aug-16,8,8/25/2016 7:16,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,29-Aug-16,8,8/29/2016 13:56,add13c7bd2d34d8695f9a342db3bf6c4
c,test,0,0,30-Jun-16,6,6/30/2016 9:03,f80f6e10e9624f08b92dc12b7577e8d4
d,voice,0,0,12-Sep-16,9,9/12/2016 11:30,add13c7bd2d34d8695f9a342db3bf6c4
a,widget,0,0,6-Oct-16,10,10/6/2016 13:17,add13c7bd2d34d8695f9a342db3bf6c4
b,Zendesk,1,0,14-Apr-16,4,4/14/2016 7:38,f80f6e10e9624f08b92dc12b7577e8d4
c,test,1,0,8-Jun-16,6,6/8/2016 5:39,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,22-Aug-16,8,8/22/2016 9:22,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,22-Aug-16,8,8/22/2016 10:53,f80f6e10e9624f08b92dc12b7577e8d4
b,Zendesk,1,0,22-Jun-16,6,6/22/2016 12:21,5ca44e07da1949fa8d39d06b253f08c8
c,test,0,0,5-Aug-16,8,8/5/2016 14:49,f80f6e10e9624f08b92dc12b7577e8d4
d,web,0,0,10-Feb-17,2,2/9/2017 22:59,5735b88b0d7443a5aee387595fcd4a2e
a,test,0,0,21-Jul-16,7,7/21/2016 12:10,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,22-Aug-16,8,8/22/2016 9:56,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,22-Aug-16,8,8/22/2016 8:49,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,12-Sep-16,9,9/12/2016 10:13,add13c7bd2d34d8695f9a342db3bf6c4
a,GMAIL,1,0,14-Apr-16,4,4/14/2016 10:20,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,23-Aug-16,8,8/23/2016 13:48,f80f6e10e9624f08b92dc12b7577e8d4
c,test,0,0,28-Jun-16,6,6/28/2016 8:43,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,19-Aug-16,8,8/19/2016 8:38,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,28-Jun-16,6,6/28/2016 9:33,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,18-Aug-16,8,8/18/2016 12:26,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,24-Aug-16,8,8/24/2016 9:28,f80f6e10e9624f08b92dc12b7577e8d4
d,web,0,0,2-Feb-17,2,2/2/2017 6:10,5735b88b0d7443a5aee387595fcd4a2e
a,test,0,0,3-Oct-16,10,10/3/2016 4:37,8591b40f435841b4b25b4f7cd345ef00
b,test,0,0,11-Jul-16,7,7/11/2016 6:50,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,19-Aug-16,8,8/19/2016 8:31,f80f6e10e9624f08b92dc12b7577e8d4
d,Zendesk,1,0,22-Jun-16,6,6/22/2016 9:05,5ca44e07da1949fa8d39d06b253f08c8
a,widget,0,0,11-Aug-16,8,8/11/2016 13:05,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,22-Aug-16,8,8/22/2016 8:23,f80f6e10e9624f08b92dc12b7577e8d4
c,test,0,0,3-Oct-16,10,10/3/2016 7:20,add13c7bd2d34d8695f9a342db3bf6c4
d,Zendesk,0,0,6-Jan-17,1,1/6/2017 7:24,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,19-Aug-16,8,8/19/2016 8:02,f80f6e10e9624f08b92dc12b7577e8d4
b,web,0,0,27-Jan-17,1,1/27/2017 5:27,703e57c7930245e1b76332a5293d3105
c,test,0,0,28-Jun-16,6,6/28/2016 9:29,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,28-Jun-16,6,6/28/2016 9:29,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,21-Jul-16,7,7/21/2016 9:42,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,22-Aug-16,8,8/22/2016 10:49,f80f6e10e9624f08b92dc12b7577e8d4
c,Zendesk,1,0,22-Jun-16,6,6/22/2016 15:59,5ca44e07da1949fa8d39d06b253f08c8
d,widget,0,0,19-Aug-16,8,8/19/2016 13:33,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,15-Jul-16,7,7/15/2016 12:18,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,13-Jul-16,7,7/13/2016 5:26,f80f6e10e9624f08b92dc12b7577e8d4
c,test,0,0,19-Jul-16,7,7/19/2016 7:30,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,11-Jul-16,7,7/11/2016 5:43,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,24-Aug-16,8,8/24/2016 12:03,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,7-Jul-16,7,7/7/2016 8:54,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,6-Sep-16,9,9/6/2016 9:10,add13c7bd2d34d8695f9a342db3bf6c4
d,web,0,0,7-Feb-17,2,2/7/2017 2:51,c3af09a013024f8db4c9ccc2261fbf48
a,GMAIL,1,0,20-Apr-16,4,4/20/2016 10:21,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,18-Aug-16,8,8/18/2016 13:19,f80f6e10e9624f08b92dc12b7577e8d4
c,Zendesk,1,0,23-Jun-16,6,6/23/2016 8:22,5ca44e07da1949fa8d39d06b253f08c8
d,voice,0,0,12-Sep-16,9,9/12/2016 11:27,add13c7bd2d34d8695f9a342db3bf6c4
a,test,0,0,11-Jul-16,7,7/11/2016 9:04,f80f6e10e9624f08b92dc12b7577e8d4
b,Zendesk,1,0,22-Jun-16,6,6/22/2016 16:42,5ca44e07da1949fa8d39d06b253f08c8
c,widget,0,0,12-Aug-16,8,8/12/2016 9:37,f80f6e10e9624f08b92dc12b7577e8d4
d,Zendesk,1,0,23-Jun-16,6,6/23/2016 8:30,5ca44e07da1949fa8d39d06b253f08c8
a,web,0,0,2-Feb-17,2,2/1/2017 23:44,c3af09a013024f8db4c9ccc2261fbf48
b,widget,0,0,22-Aug-16,8,8/22/2016 8:49,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,22-Aug-16,8,8/22/2016 11:11,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,22-Aug-16,8,8/22/2016 10:53,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,2-Jul-16,7,7/2/2016 6:31,f80f6e10e9624f08b92dc12b7577e8d4
b,web,0,0,7-Feb-17,2,2/6/2017 22:34,5735b88b0d7443a5aee387595fcd4a2e
c,widget,0,0,29-Aug-16,8,8/29/2016 11:47,add13c7bd2d34d8695f9a342db3bf6c4
d,test,1,0,16-Jun-16,6,6/16/2016 13:32,f80f6e10e9624f08b92dc12b7577e8d4
a,Zendesk,1,0,22-Jun-16,6,6/22/2016 16:21,5ca44e07da1949fa8d39d06b253f08c8
b,widget,0,0,25-Aug-16,8,8/25/2016 11:25,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,22-Aug-16,8,8/22/2016 10:32,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,6-Oct-16,10,10/6/2016 13:18,add13c7bd2d34d8695f9a342db3bf6c4
a,widget,0,0,22-Aug-16,8,8/22/2016 10:30,f80f6e10e9624f08b92dc12b7577e8d4
b,GMAIL,1,0,13-Apr-16,4,4/13/2016 11:34,f80f6e10e9624f08b92dc12b7577e8d4
c,test,0,0,11-Jul-16,7,7/11/2016 7:56,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,8-Jul-16,7,7/8/2016 12:59,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,22-Aug-16,8,8/22/2016 6:38,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,8-Jul-16,7,7/8/2016 7:34,f80f6e10e9624f08b92dc12b7577e8d4
c,GMAIL,1,0,25-May-16,5,5/25/2016 7:24,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,30-Jun-16,6,6/30/2016 9:02,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,25-Aug-16,8,8/25/2016 7:26,f80f6e10e9624f08b92dc12b7577e8d4
b,Zendesk,1,0,16-Jun-16,6,6/16/2016 13:35,f80f6e10e9624f08b92dc12b7577e8d4
c,web,0,0,9-Feb-17,2,2/9/2017 1:59,c3af09a013024f8db4c9ccc2261fbf48
d,widget,0,0,26-Aug-16,8,8/26/2016 13:22,add13c7bd2d34d8695f9a342db3bf6c4
a,GMAIL,1,0,11-May-16,5,5/11/2016 5:50,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,24-Aug-16,8,8/24/2016 8:19,f80f6e10e9624f08b92dc12b7577e8d4
c,test,0,0,11-Jul-16,7,7/11/2016 5:43,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,22-Aug-16,8,8/22/2016 10:14,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,22-Aug-16,8,8/22/2016 11:03,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,28-Jun-16,6,6/28/2016 9:29,f80f6e10e9624f08b92dc12b7577e8d4
c,GMAIL,1,0,13-May-16,5,5/13/2016 6:30,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,24-Aug-16,8,8/24/2016 6:12,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,25-Jul-16,7,7/24/2016 19:42,f80f6e10e9624f08b92dc12b7577e8d4
b,GMAIL,1,0,14-Apr-16,4,4/14/2016 7:19,f80f6e10e9624f08b92dc12b7577e8d4
c,Zendesk,1,0,13-Apr-16,4,4/13/2016 11:14,f80f6e10e9624f08b92dc12b7577e8d4
d,web,0,0,16-Feb-17,2,2/15/2017 22:16,5735b88b0d7443a5aee387595fcd4a2e
a,widget,0,0,22-Aug-16,8,8/22/2016 10:50,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,26-Aug-16,8,8/26/2016 11:59,add13c7bd2d34d8695f9a342db3bf6c4
c,test,0,0,29-Jun-16,6,6/29/2016 5:42,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,25-Aug-16,8,8/25/2016 11:31,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,21-Jul-16,7,7/21/2016 10:23,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,24-Aug-16,8,8/24/2016 6:10,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,22-Aug-16,8,8/22/2016 8:26,f80f6e10e9624f08b92dc12b7577e8d4
d,web,0,0,10-Feb-17,2,2/10/2017 1:22,703e57c7930245e1b76332a5293d3105
a,Zendesk,1,0,20-Apr-16,4,4/20/2016 11:10,f80f6e10e9624f08b92dc12b7577e8d4
b,Zendesk,1,0,22-Jun-16,6,6/22/2016 14:13,5ca44e07da1949fa8d39d06b253f08c8
c,test,1,0,7-Jun-16,6,6/7/2016 9:07,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,24-Aug-16,8,8/24/2016 8:03,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,4-Jul-16,7,7/4/2016 9:44,f80f6e10e9624f08b92dc12b7577e8d4
b,web,0,0,2-Feb-17,2,2/2/2017 1:17,703e57c7930245e1b76332a5293d3105
c,test,0,0,15-Jul-16,7,7/15/2016 11:30,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,1-Jul-16,7,7/1/2016 7:09,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,13-Jul-16,7,7/13/2016 5:25,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,23-Aug-16,8,8/23/2016 13:57,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,22-Aug-16,8,8/22/2016 12:15,f80f6e10e9624f08b92dc12b7577e8d4
d,Zendesk,1,0,8-Jun-16,6,6/8/2016 7:58,f80f6e10e9624f08b92dc12b7577e8d4
a,test,0,0,13-Jul-16,7,7/13/2016 6:42,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,22-Aug-16,8,8/22/2016 10:08,f80f6e10e9624f08b92dc12b7577e8d4
c,test,0,0,25-Jul-16,7,7/24/2016 19:48,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,26-Aug-16,8,8/26/2016 13:18,add13c7bd2d34d8695f9a342db3bf6c4
a,test,0,0,3-Jul-16,7,7/3/2016 16:19,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,23-Aug-16,8,8/23/2016 13:09,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,22-Aug-16,8,8/22/2016 10:38,f80f6e10e9624f08b92dc12b7577e8d4
d,widget,0,0,29-Aug-16,8,8/29/2016 13:41,add13c7bd2d34d8695f9a342db3bf6c4
a,widget,0,0,23-Aug-16,8,8/23/2016 12:22,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,30-Jun-16,6,6/30/2016 9:04,f80f6e10e9624f08b92dc12b7577e8d4
c,widget,0,0,24-Aug-16,8,8/24/2016 10:01,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,11-Jul-16,7,7/11/2016 11:08,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,22-Aug-16,8,8/22/2016 10:38,f80f6e10e9624f08b92dc12b7577e8d4
